"ADRNo","SARType","IncidentDate","Received","IncidentType","Serious","SARDay","SARMonth","SARYear","ReportType","PrimarySourceCountry","OccurCountry"
"0154/19","Animal","4/22/2013","1/9/2019","Safety Issue","N","22","04","2013","Spontaneous and expedited","GB","GB"
"0155/19","Animal","3/9/2013","1/9/2019","Safety Issue","N","09","03","2013","Spontaneous and expedited","GB","GB"
"0156/19","Animal","12/26/2018","1/9/2019","Safety issue","N","26","12","2018","Spontaneous and expedited","GB","GB"
"0157/19","Animal","1/1/2019","1/9/2019","Safety issue","Y","01","01","2019","Spontaneous and expedited","GB","GB"
"0158/19","Animal","1/9/2019","1/9/2019","Safety issue","N","09","01","2019","Spontaneous and expedited","GB","GB"
"0159/19","Animal","10/30/2013","1/9/2019","Safety Issue","N","30","10","2013","Spontaneous and expedited","GB","GB"
"0160/19","Animal","1/9/2019","1/9/2019","Safety issue","N","09","01","2019","Spontaneous and expedited","GB","GB"
"0161/19","Animal","4/10/2013","1/9/2019","Safety Issue","N","10","04","2013","Spontaneous and expedited","GB","GB"
"0162/19","Animal","11/26/2018","1/10/2019","Safety Issue","N","26","11","2018","Spontaneous and expedited","GB","GB"
"0163/19","Animal","12/28/2018","1/10/2019","Safety Issue","Y","28","12","2018","Spontaneous and expedited","GB","GB"
"0164/19","Animal","12/24/2018","1/10/2019","Safety Issue","Y","24","12","2018","Spontaneous and expedited","GB","GB"
"0165/19","Animal","12/24/2018","1/10/2019","Safety Issue","Y","24","12","2018","Spontaneous and expedited","GB","GB"
"0166/19","Animal","12/18/2018","1/10/2019","Safety Issue","N","18","12","2018","Spontaneous and expedited","GB","GB"
"0167/19","Animal","1/3/2019","1/10/2019","Safety Issue","Y","03","01","2019","Spontaneous and expedited","GB","GB"
"0170/19","Animal","12/6/2018","1/10/2019","Safety Issue","Y","06","12","2018","Spontaneous and expedited","GB","GB"
"0171/19","Animal","12/1/2018","1/10/2019","Safety Issue","N","01","12","2018","Spontaneous and expedited","GB","GB"
"0172/19","Animal","10/1/2017","1/10/2019","Safety Issue","Y","","10","2017","Spontaneous and expedited","GB","GB"
"0173/19","Animal","1/7/2019","1/10/2019","Safety Issue","Y","07","01","2019","Spontaneous and expedited","GB","GB"
"0174/19","Animal","1/9/2019","1/10/2019","Safety issue","N","09","01","2019","Spontaneous and expedited","GB","GB"
"0175/19","Animal","12/7/2018","1/10/2019","Safety Issue","N","07","12","2018","Spontaneous and expedited","GB","GB"
"0176/19","Animal","12/5/2018","1/10/2019","Safety Issue","N","05","12","2018","Spontaneous and expedited","GB","GB"
"0177/19","Animal","12/11/2018","1/10/2019","Safety Issue","N","11","12","2018","Spontaneous and expedited","GB","GB"
"0178/19","Animal","12/10/2013","1/10/2019","Safety Issue","N","10","12","2013","Spontaneous and expedited","GB","GB"
"0179/19","Animal","7/9/2018","1/10/2019","Safety Issue","Y","09","07","2018","Spontaneous and expedited","GB","GB"
"0180/19","Animal","1/6/2019","1/10/2019","Safety Issue","Y","06","01","2019","Spontaneous and expedited","GB","GB"
"0181/19","Animal","12/11/2018","1/10/2019","Safety Issue","N","11","12","2018","Spontaneous and expedited","GB","GB"
"0182/19","Animal","6/1/2018","1/10/2019","Safety Issue","N","01","06","2018","Spontaneous and expedited","GB","GB"
"0183/19","Animal","12/11/2018","1/10/2019","Safety Issue","N","11","12","2018","Spontaneous and expedited","GB","GB"
"0184/19","Animal","12/20/2018","1/10/2019","Safety Issue","N","20","12","2018","Spontaneous and expedited","GB","GB"
"0185/19","Animal","12/1/2018","1/10/2019","Safety Issue","N","01","12","2018","Spontaneous and expedited","GB","GB"
"0186/19","Animal","12/1/2018","1/10/2019","Safety Issue","N","01","12","2018","Spontaneous and expedited","GB","GB"
"0187/19","Animal","12/1/2018","1/10/2019","Safety Issue","N","01","12","2018","Spontaneous and expedited","GB","GB"
"0188/19","Animal","8/28/2018","1/10/2019","Safety Issue","N","28","08","2018","Spontaneous and expedited","GB","GB"
"0189/19","Animal","7/30/2018","1/10/2019","Safety Issue","N","30","07","2018","Spontaneous and expedited","GB","GB"
"0190/19","Animal","12/1/2018","1/10/2019","Lack of expected efficacy","N","01","12","2018","Spontaneous and expedited","GB","GB"
"0191/19","Animal","12/20/2018","1/10/2019","Safety Issue","N","20","12","2018","Spontaneous and expedited","GB","GB"
"0192/19","Animal","12/20/2018","1/10/2019","Safety Issue","N","20","12","2018","Spontaneous and expedited","GB","GB"
"0193/19","Animal","12/20/2018","1/10/2019","Safety Issue","N","20","12","2018","Spontaneous and expedited","GB","GB"
"0194/19","Animal","12/20/2018","1/10/2019","Safety Issue","N","20","12","2018","Spontaneous and expedited","GB","GB"
"0195/19","Animal","12/25/2018","1/10/2019","Safety Issue","Y","25","12","2018","Spontaneous and expedited","GB","GB"
"0196/19","Animal","12/20/2018","1/10/2019","Safety Issue","N","20","12","2018","Spontaneous and expedited","GB","GB"
"0197/19","Animal","1/6/2019","1/10/2019","Lack of expected efficacy","Y","06","01","2019","Spontaneous and expedited","GB","GB"
"0198/19","Animal","2/10/2017","1/10/2019","Safety issue","N","10","02","2017","Spontaneous and expedited","GB","GB"
"0199/19","Animal","1/4/2019","1/10/2019","Safety Issue","Y","04","01","2019","Spontaneous and expedited","GB","GB"
"0200/19","Animal","12/20/2018","1/10/2019","Safety Issue","N","20","12","2018","Spontaneous and expedited","GB","GB"
"0201/19","Animal","12/13/2018","1/10/2019","Lack of expected efficacy","Y","13","12","2018","Spontaneous and expedited","GB","GB"
"0202/19","Animal","12/31/2018","1/10/2019","Lack of expected efficacy","Y","31","12","2018","Spontaneous and expedited","GB","GB"
"0203/19","Animal","1/3/2019","1/10/2019","Safety Issue","Y","03","01","2019","Spontaneous and expedited","GB","GB"
"0204/19","Animal","12/14/2018","1/10/2019","Safety Issue","N","14","12","2018","Spontaneous and expedited","GB","GB"
"0205/19","Animal","11/22/2013","1/10/2019","Safety Issue","N","22","11","2013","Spontaneous and expedited","GB","GB"
"0206/19","Animal","12/1/2018","1/10/2019","Safety Issue","Y","01","12","2018","Spontaneous and expedited","GB","GB"
"0207/19","Animal","11/20/2018","1/10/2019","Safety Issue","N","20","11","2018","Spontaneous and expedited","GB","GB"
"0208/19","Animal","11/28/2018","1/10/2019","Safety Issue","N","28","11","2018","Spontaneous and expedited","GB","GB"
"0209/19","Animal","11/29/2018","1/10/2019","Safety Issue","N","29","11","2018","Spontaneous and expedited","GB","GB"
"0210/19","Animal","12/17/2018","1/10/2019","Safety Issue","N","17","12","2018","Spontaneous and expedited","GB","GB"
"0211/19","Animal","9/1/2018","1/10/2019","Lack of expected efficacy","N","01","09","2018","Spontaneous and expedited","GB","GB"
"0212/19","Animal","11/29/2018","1/10/2019","Lack of expected efficacy","N","29","11","2018","Spontaneous and expedited","GB","GB"
"0213/19","Animal","12/1/2018","1/10/2019","Safety Issue","N","01","12","2018","Spontaneous and expedited","GB","GB"
"0214/19","Animal","8/21/2018","1/10/2019","Safety Issue","Y","21","08","2018","Spontaneous and expedited","GB","GB"
"0064/19","Animal","12/2/2018","1/3/2019","Safety Issue","Y","02","12","2018","Spontaneous and expedited","GB","GB"
"0065/19","Animal","12/31/2018","1/3/2019","Safety Issue","Y","31","12","2018","Spontaneous and expedited","GB","GB"
"0066/19","Animal","12/16/2018","1/3/2019","Lack of expected efficacy","Y","16","12","2018","Spontaneous and expedited","GB","GB"
"0067/19","Animal","8/1/2018","1/3/2019","Lack of expected efficacy","Y","","08","2018","Spontaneous and expedited","GB","GB"
"0068/19","Animal","3/1/2018","1/3/2019","Lack of expected efficacy","Y","","12","2018","Spontaneous and expedited","GB","GB"
"0069/19","Animal","1/3/2019","1/3/2019","Safety issue","Y","03","01","2019","Spontaneous and expedited","GB","GB"
"0070/19","Animal","12/21/2018","1/3/2019","Safety Issue","Y","21","12","2018","Spontaneous and expedited","GB","GB"
"0071/19","Animal","12/23/2018","1/3/2019","Safety issue","N","23","12","2018","Spontaneous and expedited","GB","GB"
"0072/19","Animal","12/8/2018","1/3/2019","Safety issue","N","08","12","2018","Spontaneous and expedited","GB","GB"
"0073/19","Animal","10/1/2018","1/3/2019","Safety Issue","N","01","10","2018","Spontaneous and expedited","GB","GB"
"0075/19","Animal","1/3/2019","1/3/2019","Safety issue","Y","03","01","2019","Spontaneous and expedited","GB","GB"
"0076/19","Animal","12/22/2018","1/3/2019","Safety Issue","N","22","12","2018","Spontaneous and expedited","GB","GB"
"0077/19","Animal","11/15/2018","1/3/2019","Safety issue","N","15","11","2018","Spontaneous and expedited","GB","GB"
"0078/19","Animal","12/17/2018","1/3/2019","Lack of expected efficacy","Y","17","12","2018","Spontaneous and expedited","GB","GB"
"0079/19","Animal","12/21/2018","1/4/2019","Safety Issue","Y","21","12","2018","Spontaneous and expedited","GB","GB"
"0080/19","Animal","1/1/2019","1/4/2019","Safety Issue","Y","","","2019","Spontaneous and expedited","GB","GB"
"0081/19","Animal","1/2/2019","1/4/2019","Safety issue","Y","02","01","2019","Spontaneous and expedited","GB","GB"
"0082/19","Animal","12/28/2018","1/4/2019","Safety issue","N","28","12","2018","Spontaneous and expedited","GB","GB"
"0083/19","Animal","12/17/2018","1/4/2019","Lack of expected efficacy","Y","17","12","2018","Spontaneous and expedited","GB","GB"
"0084/19","Animal","11/26/2018","1/4/2019","Safety Issue","N","26","11","2018","Spontaneous and expedited","GB","GB"
"0085/19","Animal","12/30/2018","1/4/2019","Safety issue","N","30","12","2018","Spontaneous and expedited","GB","GB"
"0086/19","Animal","1/3/2019","1/4/2019","Safety issue","N","03","01","2019","Spontaneous and expedited","GB","GB"
"0514/19","Animal","12/14/2012","1/21/2019","Lack of expected efficacy","N","14","12","2012","Spontaneous and expedited","GB","GB"
