ADRNo;AnimalClass;AnimalSpecies;AnimalRole;ProductionType;AnimalSex;FemaleStatus;AnimalBreed;AnimalAge;AgeUnit;AgeType;MinimumAge;MaximumAge;AnimalWeight;WeightType;MinimumWeight;MaximumWeight;ParentOfCrossbreed;ClassCode;SpeciesCode;BreedCode
10394/19;Equidae;Equine/horse;Companion;;Unknown;Unknown;;;;Unknown;;;;Unknown;;;;;EquHo;
10395/19;Equidae;Equine/horse;Companion;;Unknown;Unknown;;26.0;Year;Exact;;;484.0;Exact;;;;;EquHo;
10396/19;Canidae;Canine/dog;Companion;;Male;;;4.0;Month;Exact;;;6.0;Exact;;;;;CanDo;
10397/19;Felidae;Feline/cat;Companion;;Female-Neutered;Non-pregnant - Non-lactating;;11.0;Month;Exact;;;2.4;Exact;;;;;FelCa;
10398/19;Canidae;Canine/dog;Companion;;Female-Neutered;Unknown;;5.0;Year;Exact;;;6.2;Exact;;;;;CanDo;
10399/19;Felidae;Feline/cat;Companion;;Female-Neutered;;;14.0;Year;Exact;;;3.1;Exact;;;;;FelCa;
10400/19;Felidae;Feline/cat;Companion;;Male-Neutered;;;3.6;Year;Approximate;;;4.9;Exact;;;;;FelCa;
10403/19;Canidae;Canine/dog;Companion;;Female-Neutered;;Pug;3.84;Year;Approximate;;;10.8;;;;;Can;CanDo;CanDo182
10404/19;Felidae;Feline/cat;Companion;;Male;;Other Feline/cat;0.24;Year;Exact;;;1.51;;;;;Fel;FelCa;FelCa028
10405/19;Canidae;Canine/dog;Companion;;Male-Neutered;;Dachshund (Standard) Smooth-haired;2.68;Year;Exact;;;6.3;;;;;Can;CanDo;CanDo071
10406/19;Bovinae;Bovine/cattle;Production;;Unknown;;;;;Unknown;;;;Unknown;;;;;BovCa;
10407/19;Leporidae;European rabbit;Companion;;Female;Unknown;;10;Month;Exact;;;1.8;Exact;;;;;LepRa;
